[2026-05-22 21:43:11,600] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:46:28,683] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:46:30,264] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:49:34,837] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:49:34,842] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:49:34,906] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:49:37,674] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:54:43,917] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:54:43,918] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:54:43,964] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:54:45,151] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:57:28,429] INFO in request_logger: OPTIONS | /predict | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:57:28,433] INFO in request_logger: OPTIONS | /predict | IP=127.0.0.1 | STATUS=401
[2026-05-22 21:58:58,188] INFO in request_logger: OPTIONS | /predict | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:58:58,201] INFO in request_logger: OPTIONS | /predict | IP=127.0.0.1 | STATUS=401
[2026-05-22 22:05:04,835] INFO in request_logger: POST | /predict | IP=127.0.0.1 | STATUS=0
[2026-05-22 22:05:04,854] INFO in request_logger: POST | /predict | IP=127.0.0.1 | STATUS=401
<<<<<<< HEAD
[2026-05-25 15:45:06,777] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-25 15:45:06,789] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-25 15:45:06,863] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-25 15:48:04,779] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-25 15:48:05,118] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-25 15:51:09,065] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-25 15:51:09,070] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-25 15:51:09,431] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-25 15:51:10,734] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-25 16:05:55,828] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-25 16:05:55,836] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-25 16:05:56,164] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-25 16:06:01,375] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=500
[2026-05-25 17:27:22,214] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-25 17:27:22,216] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-25 17:27:22,648] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-25 17:27:53,705] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-25 17:27:54,055] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-25 17:28:18,775] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-25 17:28:18,776] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-25 17:28:18,781] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-25 17:28:25,389] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-25 17:28:25,687] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-03 20:04:58,477] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-03 20:04:58,974] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-03 20:05:20,636] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
[2026-06-03 20:05:22,437] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=400
[2026-06-03 20:07:56,662] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-03 20:07:57,163] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-03 20:08:20,391] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
[2026-06-03 20:08:22,257] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=500
[2026-06-03 20:08:27,775] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
[2026-06-03 20:08:28,519] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=500
[2026-06-03 20:12:46,605] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-03 20:12:46,952] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-03 20:13:01,424] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
[2026-06-03 20:13:02,178] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=200
[2026-06-04 12:56:14,883] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-04 12:56:15,328] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-04 12:57:17,742] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:03:50,543] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:03:50,920] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:04:11,129] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:06:17,366] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:06:36,420] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:06:38,421] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:07:00,789] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:08:04,803] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:08:05,154] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:08:31,122] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:08:34,004] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:20:05,086] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:20:05,441] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:20:22,019] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:20:23,719] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:20:32,488] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:20:33,089] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:23:57,277] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:23:57,638] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:24:11,950] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
